dataset,model,auc_pr_mean,auc_pr_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,specificity_mean,specificity_std,pred_pos_rate_mean,pred_pos_rate_std,aurc_mean,aurc_std,eaurc_mean,eaurc_std,ece_after_mean,ece_after_std,ece_before_mean,ece_before_std,brier_mean,brier_std,sel_acc_70_mean,sel_acc_70_std,sel_acc_80_mean,sel_acc_80_std,sel_acc_90_mean,sel_acc_90_std,filt20_acc_mean,filt20_acc_std,filt20_risk_mean,filt20_risk_std,rc_violation_rate_mean,rc_violation_rate_std,rc_spearman_cov_risk_mean,rc_spearman_cov_risk_std,aurc_confidence_mean,aurc_confidence_std,eaurc_confidence_mean,eaurc_confidence_std,sel_conf_acc_80_mean,sel_conf_acc_80_std,filt20_acc_confidence_mean,filt20_acc_confidence_std,filt20_risk_confidence_mean,filt20_risk_confidence_std,rc_spearman_cov_risk_confidence_mean,rc_spearman_cov_risk_confidence_std,aurc_model_unc_mean,aurc_model_unc_std,rc_spearman_cov_risk_model_unc_mean,rc_spearman_cov_risk_model_unc_std
bitcoin_otc,ours,0.9145101875738652,0.0023686708635961323,0.15963358156923554,0.024609213362227524,0.5283767274405528,0.01988282491982339,0.5854304635761581,0.027592935968211423,0.6059073310853004,0.03407983786515806,0.1531950194499895,0.014954350668268524,-0.216731295024845,0.014811966597809563,0.04962355976081264,0.007247101441433069,0.21112152921466013,0.024954480268494287,0.13502707677672995,0.000352667760827389,0.8087592543038088,0.03726794773339166,0.7324592211035666,0.0337700927396478,0.6759625390218522,0.03356853856936584,0.732630757220921,0.033778001426472075,0.267369242779079,0.03377800142647207,0.03508771929824561,0.049621528504319126,0.9989974937343358,0.0014177579572663024,0.1531950194499895,0.014954350668268524,-0.216731295024845,0.014811966597809563,0.7324592211035666,0.0337700927396478,0.732630757220921,0.033778001426472075,0.267369242779079,0.03377800142647207,0.9989974937343358,0.0014177579572663024,0.4504032670390808,0.006085348459094026,-0.7814536340852131,0.16344849365804023
bitcoin_otc,ours_1hop,0.9091002622248899,0.0015809939711109826,0.13940972095358042,0.04707209153742409,0.44507527717653295,0.11163594269891199,0.7090507726269305,0.1493044199392961,0.44804546022230546,0.207260732150661,0.2861846473126674,0.15044018352519511,-0.20663413625171376,0.03262313920938738,0.08840403170500304,0.003137405966649492,0.16966605125979353,0.021671687669721326,0.1258771654382245,0.0007552373955661791,0.6181428953706182,0.23389346425067503,0.5656754858346992,0.2064702532389938,0.5254249046132501,0.18311152366334277,0.5658079625292739,0.2065186069282769,0.43419203747072616,0.20651860692827684,0.14035087719298245,0.08945648269461026,0.9819548872180449,0.013280843408011788,0.2861846473126674,0.15044018352519511,-0.20663413625171376,0.03262313920938738,0.5656754858346992,0.2064702532389938,0.5658079625292739,0.2065186069282769,0.43419203747072616,0.20651860692827684,0.9819548872180449,0.013280843408011788,0.5481262090904501,0.08276657796100004,-0.14987468671679197,0.7144490865358437
bitcoin_otc,ours_notemp,0.9121870920473808,0.0016446986077772762,0.14484797305749048,0.029470401667934742,0.4940319757901257,0.04872490341651343,0.6397350993377475,0.07714781747004568,0.5335956038466342,0.10251071126523269,0.19439207676774517,0.048155234357027496,-0.23248440630956213,0.033259027847948756,0.044600070940228054,0.010096603534752693,0.19337641547719117,0.018151783119511444,0.1367093096818151,0.0010622345399766814,0.7303541164927303,0.11085003258464612,0.6641692031530476,0.09772572654485608,0.6140825528962885,0.0905410359788847,0.6643247462919594,0.09774861313186892,0.3356752537080407,0.0977486131318689,0.03508771929824561,0.049621528504319126,0.9989974937343358,0.0014177579572663024,0.19439207676774517,0.048155234357027496,-0.23248440630956213,0.033259027847948756,0.6641692031530476,0.09772572654485608,0.6643247462919594,0.09774861313186892,0.3356752537080407,0.0977486131318689,0.9989974937343358,0.0014177579572663024,0.46090765875217593,0.0329096254769652,-0.5839598997493735,0.21045588987936323
bitcoin_otc,ours_nounc,0.915907896853173,0.004679117673387127,0.15144601086543227,0.01813808377357218,0.5013421481110433,0.028759881488238194,0.644150110375275,0.043813284697766894,0.5403397027600849,0.05942666118477115,0.18255180704106166,0.029849138483793294,-0.23633166991660037,0.018525847813599235,0.05453996519977097,0.0069987952697818726,0.1757246137965264,0.032774522590952766,0.13418298971926648,0.00032773139646945384,0.7341896351797342,0.06555071869421279,0.6728322797159135,0.06250844612280329,0.6223378425251473,0.05478285659279116,0.6729898516783761,0.06252308510315992,0.3270101483216239,0.06252308510315992,0.017543859649122806,0.024810764252159563,0.999498746867168,0.0007088789786331251,0.18255180704106166,0.029849138483793294,-0.23633166991660037,0.018525847813599235,0.6728322797159135,0.06250844612280329,0.6729898516783761,0.06252308510315992,0.3270101483216239,0.06252308510315992,0.999498746867168,0.0007088789786331251,0.4397487503144104,0.022264714113982852,-0.2807017543859649,0.49813919984323873
bitcoin_alpha,ours,0.8705765463135381,0.018564958777939,0.07085236309192325,0.050321334331990326,0.4596779778501123,0.03973457398243954,0.4310551558752989,0.3174866596299006,0.6497143910079234,0.2654483276882398,0.21351664758242186,0.06882364846702468,-0.15795930598308391,0.111619607201902,0.08963726880072313,0.0018923017660199032,0.23230455039844386,0.1499956188688081,0.13748285732555157,0.00014645641405125492,0.721279115673115,0.12677618136790364,0.6847438111686817,0.145326522226178,0.658274485723058,0.1580850961825839,0.6847500575904167,0.14539371150116012,0.31524994240958326,0.14539371150116012,0.2631578947368421,0.22329687826943606,0.7398496240601503,0.3594016421669971,0.21351664758242186,0.06882364846702468,-0.15795930598308391,0.111619607201902,0.6847438111686817,0.145326522226178,0.6847500575904167,0.14539371150116012,0.31524994240958326,0.14539371150116012,0.7398496240601503,0.3594016421669971,0.39122979414611736,0.23015262507350173,0.14235588972431074,0.4894997984684712
bitcoin_alpha,ours_1hop,0.8501762022447773,0.0033082944854666034,-0.019545093214587677,0.03409688120186091,0.446965350689974,0.01629209243210042,0.3866906474820137,0.1315861886308229,0.591947669062097,0.09672282199817268,0.23298073018615692,0.03764718958788592,-0.20989747139851236,0.02176354663793833,0.08631991405878246,0.0007532774072522833,0.27143022773184344,0.02816986097497904,0.13820978458638064,0.0004250841605285709,0.7350967232530596,0.08770059135440826,0.6599884858952216,0.07770118533078954,0.6005526558182377,0.06623667776997279,0.6601013591338399,0.07788200597319324,0.3398986408661601,0.07788200597319324,0.2631578947368421,0.07443229275647868,0.7769423558897243,0.12980230308218885,0.23298073018615692,0.03764718958788592,-0.20989747139851236,0.02176354663793833,0.6599884858952216,0.07770118533078954,0.6601013591338399,0.07788200597319324,0.3398986408661601,0.07788200597319324,0.7769423558897243,0.12980230308218885,0.5945780602733579,0.033129887125502314,-0.931829573934837,0.09114265190533995
bitcoin_alpha,ours_notemp,0.8570373148547287,0.021695772463304716,0.03623926578204654,0.03621303569363772,0.4512611775159603,0.029837443801814075,0.5077937649880088,0.15572073133275313,0.533167495854063,0.11925723382567206,0.2518539691160628,0.039940065760384225,-0.21258310477374742,0.03363827227736165,0.08516475038654021,0.003661573921711675,0.17779798181983228,0.1080342236253413,0.13744014930566825,0.00012433091474225606,0.6916699565732333,0.11008922080126424,0.6279792746113989,0.0904507501432297,0.578753454098864,0.07652569568263916,0.6280810873070719,0.09046103539012731,0.3719189126929281,0.09046103539012731,0.2631578947368421,0.19692933614599692,0.7263157894736842,0.19523407358938324,0.2518539691160628,0.039940065760384225,-0.21258310477374742,0.03363827227736165,0.6279792746113989,0.0904507501432297,0.6280810873070719,0.09046103539012731,0.3719189126929281,0.09046103539012731,0.7263157894736842,0.19523407358938324,0.6224541335018208,0.09019378325304002,-0.9974937343358397,0.002555899505560325
bitcoin_alpha,ours_nounc,0.8397605533770186,0.020980679566120763,-0.013915009204473902,0.03871493865136289,0.4567732790790456,0.01768204503048417,0.24280575539568297,0.1760447481747237,0.7412014004053805,0.18304085558851363,0.20899368900243984,0.05710057470151571,-0.12885410904436312,0.07496369148331448,0.08501699521213339,0.0015723187686241156,0.24131123430344617,0.08953789766984441,0.13827520176848865,0.0010672591568043962,0.7864192656928544,0.049915418253765914,0.7311456534254462,0.08099925158627877,0.6906150854569645,0.1084305948066299,0.7311679336558394,0.08091500720050328,0.26883206634416057,0.08091500720050328,0.42105263157894735,0.07443229275647868,0.6330827067669172,0.15445592920431678,0.20899368900243984,0.05710057470151571,-0.12885410904436312,0.07496369148331448,0.7311456534254462,0.08099925158627877,0.7311679336558394,0.08091500720050328,0.26883206634416057,0.08091500720050328,0.6330827067669172,0.15445592920431678,0.42689786861514323,0.16816605354880512,-0.9954887218045112,0.00637991080769823
